timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699311725727,12381,GET,200,OK,Read 1-39,text,true,,1456047,126,37,37,http://localhost:3333/gols,12375,0,1
1699311725740,12655,GET,200,OK,Read 1-40,text,true,,1456047,126,36,36,http://localhost:3333/gols,12652,0,1
1699311725752,12933,GET,200,OK,Read 1-41,text,true,,1456047,126,35,35,http://localhost:3333/gols,12929,0,1
1699311725765,13217,GET,200,OK,Read 1-42,text,true,,1456047,126,34,34,http://localhost:3333/gols,13213,0,1
1699311725777,13488,GET,200,OK,Read 1-43,text,true,,1456047,126,33,33,http://localhost:3333/gols,13484,0,1
1699311725789,13766,GET,200,OK,Read 1-44,text,true,,1456047,126,32,32,http://localhost:3333/gols,13763,0,1
1699311725802,14050,GET,200,OK,Read 1-45,text,true,,1456047,126,31,31,http://localhost:3333/gols,14045,0,2
1699311725814,14367,GET,200,OK,Read 1-46,text,true,,1456047,126,30,30,http://localhost:3333/gols,14340,0,1
1699311725828,14655,GET,200,OK,Read 1-47,text,true,,1456047,126,29,29,http://localhost:3333/gols,14652,0,1
1699311725840,14954,GET,200,OK,Read 1-48,text,true,,1456047,126,28,28,http://localhost:3333/gols,14930,0,2
1699311725851,15209,GET,200,OK,Read 1-49,text,true,,1456047,126,27,27,http://localhost:3333/gols,15205,0,1
1699311725864,15487,GET,200,OK,Read 1-50,text,true,,1456047,126,26,26,http://localhost:3333/gols,15483,0,2
1699311725876,15753,GET,200,OK,Read 1-51,text,true,,1456047,126,25,25,http://localhost:3333/gols,15749,0,1
1699311725889,16030,GET,200,OK,Read 1-52,text,true,,1456047,126,24,24,http://localhost:3333/gols,16027,0,1
1699311725902,16304,GET,200,OK,Read 1-53,text,true,,1456047,126,23,23,http://localhost:3333/gols,16299,0,2
1699311725915,16580,GET,200,OK,Read 1-54,text,true,,1456047,126,22,22,http://localhost:3333/gols,16576,0,1
1699311725925,16855,GET,200,OK,Read 1-55,text,true,,1456047,126,21,21,http://localhost:3333/gols,16851,0,0
1699311725941,17131,GET,200,OK,Read 1-56,text,true,,1456047,126,20,20,http://localhost:3333/gols,17126,0,2
1699311725951,17405,GET,200,OK,Read 1-57,text,true,,1456047,126,19,19,http://localhost:3333/gols,17400,0,1
1699311725966,17683,GET,200,OK,Read 1-58,text,true,,1456047,126,18,18,http://localhost:3333/gols,17679,0,4
1699311725977,17957,GET,200,OK,Read 1-59,text,true,,1456047,126,17,17,http://localhost:3333/gols,17951,0,1
1699311725988,18239,GET,200,OK,Read 1-60,text,true,,1456047,126,16,16,http://localhost:3333/gols,18235,0,1
1699311725998,18519,GET,200,OK,Read 1-61,text,true,,1456047,126,15,15,http://localhost:3333/gols,18514,0,1
1699311726010,18797,GET,200,OK,Read 1-62,text,true,,1456047,126,14,14,http://localhost:3333/gols,18794,0,1
1699311726025,19105,GET,200,OK,Read 1-63,text,true,,1456047,126,13,13,http://localhost:3333/gols,19079,0,0
1699311726038,19371,GET,200,OK,Read 1-64,text,true,,1456047,126,12,12,http://localhost:3333/gols,19366,0,1
1699311726048,19642,GET,200,OK,Read 1-65,text,true,,1456047,126,11,11,http://localhost:3333/gols,19637,0,1
1699311726058,19940,GET,200,OK,Read 1-66,text,true,,1456047,126,10,10,http://localhost:3333/gols,19921,0,1
1699311726071,20198,GET,200,OK,Read 1-67,text,true,,1456047,126,9,9,http://localhost:3333/gols,20193,0,1
1699311726083,20504,GET,200,OK,Read 1-68,text,true,,1456047,126,8,8,http://localhost:3333/gols,20499,0,1
1699311726097,20771,GET,200,OK,Read 1-69,text,true,,1456047,126,7,7,http://localhost:3333/gols,20768,0,1
1699311726108,21050,GET,200,OK,Read 1-70,text,true,,1456047,126,6,6,http://localhost:3333/gols,21048,0,1
1699311726122,21317,GET,200,OK,Read 1-71,text,true,,1456047,126,5,5,http://localhost:3333/gols,21313,0,1
1699311726134,21590,GET,200,OK,Read 1-72,text,true,,1456047,126,4,4,http://localhost:3333/gols,21587,0,2
1699311726145,21859,GET,200,OK,Read 1-73,text,true,,1456047,126,3,3,http://localhost:3333/gols,21855,0,0
1699311726159,22151,GET,200,OK,Read 1-74,text,true,,1456047,126,2,2,http://localhost:3333/gols,22125,0,1
1699311726172,22392,GET,200,OK,Read 1-75,text,true,,1456047,126,1,1,http://localhost:3333/gols,22389,0,1
